ID,Title,Make,Model,Year,Price,Mileage,Description,Status,"Created At","Updated At"
2,"byd 2025",byd,byd,2025,15000.00,0,"byd zero ",available,"2025-10-03 16:13:57","2025-10-03 16:13:57"
3,"Mercedes AMG",Mercedes,"CS Class ",2021,70000.00,70000,"cs class",available,"2025-10-03 16:14:53","2025-10-03 16:14:53"
4,Toyota,Toyota,Camre,2021,25000.00,80000,"camre black edition",available,"2025-10-03 16:15:53","2025-10-03 16:15:53"
5,"2018 Toyota Corolla",Toyota,Corolla,2018,12500.00,45000,"Well-maintained Toyota Corolla with low mileage. Single owner, no accidents, all services done on time. Perfect for daily use, very fuel-efficient.",available,"2025-10-03 16:23:20","2025-10-03 16:23:20"
6,"2020 Honda Civic - Sporty Look","Honda ","Civic ",2020,15800.00,123444,"Reliable sedan with sporty design, well maintained, perfect for city driving.",available,"2025-10-03 16:24:25","2025-10-03 16:24:25"
7,"2017 Ford Mustang GT - V8 Power","Ford ","Mustang GT",2017,30000.00,67000,"Powerful V8 engine, premium sound system, recently serviced, great for performance lovers.",available,"2025-10-03 16:25:13","2025-10-03 16:25:13"
8,"2021 Tesla Model 3 - Long Range","Tesla ","Model 3",2021,20000.00,22000,"Fully electric, autopilot enabled, fast charging, excellent range of over 500 km.",available,"2025-10-03 16:26:06","2025-10-03 16:26:06"
9,"2019 BMW X5 - Luxury SUV","BMW ","X5 ",2019,48500.00,35000,"Luxury SUV with leather interior, panoramic roof, and advanced safety features.",available,"2025-10-03 16:26:55","2025-10-03 16:26:55"
10,"2015 Toyota Camry - Reliable Sedan","Toyota ","Camry ",2015,10200.00,85000,"Smooth drive, fuel-efficient, well-maintained family car with spacious interior.",available,"2025-10-03 16:28:01","2025-10-03 16:28:01"
11,"2018 Mercedes-Benz C300 - Elegant Ride",Mercedes," C300 - Elegant Ride",2018,29700.00,30800,"Premium features, luxury design, excellent handling, full service history available.",available,"2025-10-03 16:29:14","2025-10-03 16:29:14"
12,"2022 Kia Sportage - Like New",Kia,"Sportage ",2022,23900.00,12000,"Compact SUV in great condition, touch screen infotainment, warranty included.",available,"2025-10-03 16:30:19","2025-10-03 16:30:19"
13,"2016 Jeep Wrangler Unlimited - Offroad Beast","Jeep ","Wrangler ",2016,26500.00,70000,"Perfect for off-road adventures, 4x4 system, rugged design, strong engine.",available,"2025-10-03 16:31:09","2025-10-03 16:31:09"
14,"2019 Audi A4 - Premium Sedan","Audi ","A4 ",2019,27800.00,38000,"Stylish sedan with excellent handling, high-tech interior, and strong performance.",sold,"2025-10-03 16:32:05","2025-10-03 20:57:00"
15,"2020 Hyundai Elantra - Great Value","Hyundai ","Elantra ",2020,11000.00,150000,"Compact sedan, fuel-efficient, reliable, and affordable choice for daily commuters.",sold,"2025-10-03 16:32:51","2025-10-04 13:55:10"
22,"Nissan Altima 2018","Nissan ","Altima ",2018,10000.00,183000,"Reliable daily driver, well maintained",sold,"2025-10-04 04:32:33","2025-10-04 13:04:51"
24,ford,fusion,fusion,2014,13500.00,102000,fusion,available,"2025-10-04 21:39:27","2025-10-04 21:43:28"
26,opel,opel,omega,1994,2000.00,1231234,sdf,available,"2025-10-04 21:46:55","2025-10-04 21:47:26"
27,"test car",test,test,2005,11122.00,3423,sdf,available,"2025-10-04 21:47:59","2025-10-04 21:47:59"
